Apps,Platform,Category,# Actions,# Activities,# Screens,Content Labeling,Implementation,Touch target size,Low contrast,Unnecessary text,Not readable,Items have the same description,Items share same location,Text Scaling,APK Name,Language
Shotguns,Ionic,BOOKS_AND_REFERENCE,109,1,58,0,0,0,0,false,false,false,false,false,0BF56EA287982123599FD892DBA91D72DB438A9BBEF8E8D43FEABA43A3B156B4,ing
SES App,React Native,EDUCATION,29,2,12,2,1,1,0,false,false,false,false,true,2BA3FA49A7977380FD467ACC71896CD48F6F2A525063517FFBD30808783BD4DF,ing
AB Brasil,React Native,EDUCATION,26,4,12,2,1,0,0,false,false,false,false,true,2C869D248B7CAE4799F29910D787E743B2B464B1E30487B2D86F3131BCBC5D5D,ing
Destiny,Ionic,EDUCATION,36,1,12,0,0,0,0,false,false,false,false,false,14C83870355D6BFBD37B8A9D00E3B25A835723586088821E22F9129E27C7F526,ing
Locomotives,Ionic,BOOKS_AND_REFERENCE,51,1,13,0,0,0,0,false,false,false,false,false,3FA394F1BA88977F3E059E3EE8537A3D82723556907B650DB641FB45C55EE06A,ing
RTS,Ionic,NEWS_AND_MAGAZINES,116,1,15,0,0,0,0,false,false,false,false,false,1EC4ACD121BB7FA7D895AB48FA911E9C43E8BC43E18CAF7AB942566CA99D5886,ing
Physical Quantities,Ionic,BOOKS_AND_REFERENCE,60,1,18,0,0,0,0,false,false,false,false,false,2D8EFB0C8DE095C6F6DCF61CD87181E455C5059C5F37B623FA2DF433B3CB51B7,ing
New Life,React Native,EDUCATION,67,3,19,5,7,4,9,false,true,true,false,true,1E8DEB05374F5BFAFE3FC460323DD014A1503C661AE6B8D3A5A6A465851D8AA3,ing
BlackOut,Ionic,SPORTS,117,1,19,0,0,0,1,false,false,false,false,false,1C7B01CECEFC6A4B818954EA575E661C44F0F7A05ED4DBAB37B29809302807D6,ing
Redemption,React Native,LIFESTYLE,35,3,20,6,18,3,14,true,true,true,true,true,0A4F728A34636AE4F6AF80F7C562A59C4497399CDFBC85490C9387882703A93A,ing
Hygiene,Ionic,BOOKS_AND_REFERENCE,53,2,21,0,3,0,0,false,false,false,false,false,2D0143A2D430CA19E9792C009C9E2395A6EB6F1CFE1DBBD563790A92AB3E4F53,ing
Anatomy of arthropods,Ionic,BOOKS_AND_REFERENCE,65,2,23,0,0,0,0,false,false,false,false,false,1B898D8F6000A79AD19397D02365AE8597DF69AE87D64230B5CAD3180E459ED0,ing
Programming languages,Ionic,BOOKS_AND_REFERENCE,43,2,23,0,0,0,0,false,false,false,false,false,0DF407D8FA1789EACA18BF03AD361007236665FBCA5E70DD275336F14EA7122E,ing
CCLKN,React Native,EDUCATION,43,6,23,6,9,4,9,false,true,true,false,true,0C1A16BE85F79ACF12B76B8D8FEA95A194D5ECA85C21628FE302B684C82012E3,ing
Catholic archbishops,Ionic,BOOKS_AND_REFERENCE,65,1,24,0,0,0,0,false,false,false,false,false,2B73ACD6FD2DF35F786CC3909FABB9DAFDF255A0300543231068EACFE498BBAE,ing
MRC,React Native,LIFESTYLE,126,3,24,6,12,3,10,false,true,true,true,true,01B3F136F81F564C4401E21C91DDFD1169B668AEFB47D77C713FA0A938FB261F,ing
Genetics,Ionic,BOOKS_AND_REFERENCE,66,1,25,0,0,0,0,false,false,false,false,false,2E4D99BC90A06A631EEB916DC1C3BACF7E3C446B1EDA5EBD5BA8A91480006650,ing
Crow River,React Native,EDUCATION,87,7,25,3,5,3,11,false,true,true,false,true,0B1754F4B1188B6BC21B410F08D11FFEECB83D621979BC697A1074DACEBEEAB9,ing
NJerusalem,React Native,EDUCATION,56,4,26,8,25,6,15,true,true,true,false,true,01C91C40ACBC8B440394B04085DC6803C1652956E79E29101856ACD41E444A8A,ing
Confectionery,Ionic,BOOKS_AND_REFERENCE,54,1,28,0,0,0,0,false,false,false,false,false,2D638BDF1EEE4A560C52A65CD7B0CF17B75E9A5821301609B19609355990F4B1,ing
Quantum mechanics,Ionic,BOOKS_AND_REFERENCE,54,1,28,0,0,0,0,false,false,false,false,false,0B68BF6D339266B5659DE6F6F9EB4DE2C4368E0B8D609915D346CBE142D835EF,ing
Lebanon CPC,React Native,EDUCATION,69,6,28,3,10,8,18,false,true,true,false,true,0AAAF90E7F13167B2A574863F444CB49955CD92C34F18D369FA78AFAABF35299,ing
Architectural Styles,Ionic,BOOKS_AND_REFERENCE,65,2,29,0,0,0,0,false,false,false,false,false,2C098AD9B9E7C0E35A0B9E389746F955919030DDF73248A00DF4EDB4F20A2164,ing
