Apps,Platform,Category,# Actions,# Activities,# Screens,Content Labeling,Implementation,Touch target size,Low contrast,Unnecessary text,Not readable,Items have the same description,Items share same location,Text Scaling,APK Name,Language
New Hope,React Native,EDUCATION,182,7,41,4,13,5,10,false,true,true,false,true,1AFD0BBF367FFB03F6A147164AD409389F8C72C1598A64977B4264476172DF9A,ing
The Blvd,React Native,EDUCATION,107,6,41,5,2,8,0,false,false,false,false,true,2CF9C0193639862C21159BB4B5C63150176178B9CE5ABD7523C8B4F5AC1AD4C2,ing
La Roca,React Native,LIFESTYLE,89,5,41,2,0,6,0,false,false,true,false,true,2BDEE8BFBFE5653FD6A03BD67B075AEDF79FAFF97B38C35AC5630DEF2ACA4593,ing
ColindarApp,Ionic,LIFESTYLE,106,2,41,1,0,4,0,false,false,false,false,true,E497737B6952F53C75BDA69D9BAE2CD12C11FAAAE9836F73F7466F1715B8563F,ing
Philosophers,Ionic,BOOKS_AND_REFERENCE,126,1,42,0,0,2,3,false,false,false,false,false,4B38B96225A9B7E8EDD79896321BA185BCA4426F6ED167B20134FBEAC44A26ED,ing
CJC,React Native,LIFESTYLE,98,6,42,2,0,3,1,false,false,true,false,true,2A430CCC9ECCA8B7894B5A7B987C43E6AE81A20F7E6C2A09C73A07D8193150A5,ing
OV Church,React Native,EDUCATION,63,5,43,13,25,6,16,true,true,true,true,true,1EC32884AA4AA3CFDC2795E2834136DAB5EB6AC3368C66D25F5A24770DDDBC09,ing
Keith UMC,React Native,EDUCATION,183,6,43,2,8,3,11,false,true,true,false,true,1E9895D5DB0EBB70FC2E9971FBC804BFB6479C2F9BA3D9E5B5A2FD943D87E168,ing
Cornerstone,React Native,LIFESTYLE,185,7,43,5,11,7,12,false,true,true,false,true,0FEA6ABE00F95FBBC851BE2B2D612EE29A53E56E73BA8AEC7DAD5AFB128E5D85,ing
Sager Creek,React Native,BOOKS_AND_REFERENCE,115,4,43,9,22,6,10,true,true,true,true,true,C54A748098748C342E4B60FA36020629A582FBA4A4F76E0C75B95BE012A06A8C,ing
FBC,React Native,EDUCATION,167,4,44,4,12,4,7,true,true,true,false,true,0AF8363E19FDC21E1F20DFAF14CB624B4DBF06AF9812B93541597CB7D3A26BAC,ing
Cove Church,React Native,LIFESTYLE,97,6,44,5,8,3,10,false,true,true,false,true,0A218BAD524A2BB0A5D4A6D9C3A35AC9DF09D4230D0DA242EDF40209E296B861,ing
Constance,React Native,EDUCATION,88,5,45,5,1,3,0,false,false,false,false,true,2A0818423771380B7602596067896D8120CC2371F59BBF055055878A572C85BA,ing
Manna App,React Native,LIFESTYLE,174,6,45,2,8,2,22,false,true,false,false,true,1BE1101C5373E2CC18D21E1892D340E914C56E55838E7F92C933CA80A3367C61,ing
