Apps,Platform,Category,# Actions,# Activities,# Screens,Content labeling,Implementation,Touch target size,Low contrast,Unnecessary text,Not readable,Items have the same description,Items share same location,Text Scaling,APK Name,Language,Considered
BGT,React Native,EDUCATION,145,7,39,1,8,11,11,false,true,false,false,true,4B920B7A311AF91191F8707BF14497B23A12075EDDFE5A48E0C1A47FFC1590FA,ing,yes
Light of BR,React Native,EDUCATION,102,5,39,0,0,5,0,false,false,true,false,true,2A0596383384CB431CBE954F445CE9ABB0FB554FEA8C4C66FF55709DA1D468A5,ing,yes
The Grove,React Native,LIFESTYLE,103,6,39,1,0,2,1,false,false,true,false,true,2ACA3D5F510B39F8D0BC649A2A89204DF250A8EFB44634CE06F65055714527B7,ing,yes
Ethnology,Ionic,BOOKS_AND_REFERENCE,89,2,40,0,3,0,0,false,false,false,false,true,4ADF29E9893A2C416C0BA0D8AA74BAB4A42A13C2CAD65A590756BCC0D6D97DC2,ing,yes
Kings of Israel,Ionic,BOOKS_AND_REFERENCE,128,1,40,0,0,0,0,false,false,false,false,true,1A3EBF19B708C909DE994C43E4704B0A68270FED7A5E31659ECB4629C12805E7,ing,yes
Cornerstone,React Native,COMMUNICATION,91,9,40,3,0,7,1,false,false,false,false,true,02D32F80167C1B91B262281C9B49EDFA4DB2C8871170C821A78809FB9C2E50C2,ing,yes
Redeemer,React Native,EDUCATION,123,3,40,7,13,3,11,true,true,true,true,true,1BC3EED2085D5086D3808F25454467A4B8F0EC36865AF961A5A3C80C3CC7AAD9,ing,yes
True Life,React Native,EDUCATION,87,3,40,1,1,2,0,false,false,true,false,true,2C961A5E8064B3E52FF9AED2D6285ABB159D64EE74C3BF28BB92FCF85CF0B283,ing,yes
GRIT,React Native,LIFESTYLE,83,6,40,1,0,3,0,false,false,false,false,true,2A71CF6B46368E30CB348CD7DE29C003EDD448109E6A190FAA4B69BFB636AE58,ing,yes
New Hope,React Native,EDUCATION,182,7,41,4,13,5,10,false,true,true,false,true,1AFD0BBF367FFB03F6A147164AD409389F8C72C1598A64977B4264476172DF9A,ing,yes
The Blvd,React Native,EDUCATION,107,6,41,5,2,8,0,false,false,false,false,true,2CF9C0193639862C21159BB4B5C63150176178B9CE5ABD7523C8B4F5AC1AD4C2,ing,yes
La Roca,React Native,LIFESTYLE,89,5,41,2,0,6,0,false,false,true,false,true,2BDEE8BFBFE5653FD6A03BD67B075AEDF79FAFF97B38C35AC5630DEF2ACA4593,ing,yes
ColindarApp,Ionic,LIFESTYLE,106,2,41,1,0,4,0,false,false,false,false,true,E497737B6952F53C75BDA69D9BAE2CD12C11FAAAE9836F73F7466F1715B8563F,ing,yes
Philosophers,Ionic,BOOKS_AND_REFERENCE,126,1,42,0,0,2,3,false,false,false,false,false,4B38B96225A9B7E8EDD79896321BA185BCA4426F6ED167B20134FBEAC44A26ED,ing,yes
CJC,React Native,LIFESTYLE,98,6,42,2,0,3,1,false,false,true,false,true,2A430CCC9ECCA8B7894B5A7B987C43E6AE81A20F7E6C2A09C73A07D8193150A5,ing,yes
